year,mgmtArea,frmSz,attr,adultMove,dmm,pK,pIncr,abund,totBM,amtCaught,bmCaught,mgmt
3,0.4,10,10,10,0.5,18277.21283467606,10,139551.9616986271,845619.8039063875,11561.31081656425,109156.69832896888,OpenAccess
3,0.5,2,10,10,0.5,18277.21283467606,10,150965.48533704123,953380.7146875578,12904.899080796138,121842.25509684272,OpenAccess
3,0.5,5,10,10,0.5,18277.21283467606,10,150965.48533704123,953380.7146875578,12840.623968219354,121235.39877619085,OpenAccess
3,0.5,10,10,10,0.5,18277.21283467606,10,150965.48533704123,953380.7146875578,12642.088292354953,119360.91540396384,OpenAccess
3,0.6,2,10,10,0.5,18277.21283467606,10,162379.0089754554,1061141.6254687281,13901.198995214423,131248.8745653403,OpenAccess
3,0.6,5,10,10,0.5,18277.21283467606,10,162379.0089754554,1061141.6254687281,13826.976090297007,130548.09577296034,OpenAccess
3,0.6,10,10,10,0.5,18277.21283467606,10,162379.0089754554,1061141.6254687281,13557.280886452818,128001.7567490313,OpenAccess
4,0.1,2,10,10,0.5,18277.21283467606,10,92835.00930896381,395996.55299704085,9101.406857336748,58086.01139926437,OpenAccess
4,0.1,5,10,10,0.5,18277.21283467606,10,92936.36243355877,397429.8687938883,9121.414166912211,58524.512285187804,OpenAccess
4,0.1,10,10,10,0.5,18277.21283467606,10,93149.77947619466,400732.75681434333,9168.782519054555,59568.554829880886,OpenAccess
4,0.2,2,10,10,0.5,18277.21283467606,10,103673.38104928003,480201.11684130697,10442.383153981373,71849.8185979046,OpenAccess
4,0.2,5,10,10,0.5,18277.21283467606,10,103712.04425079188,480840.0300684617,10474.758964132228,72292.5570838079,OpenAccess
4,0.2,10,10,10,0.5,18277.21283467606,10,104091.36846912386,485936.70691833756,10445.659287111257,72753.67573557228,OpenAccess
4,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,114257.5119732158,567286.1667692746,11747.839364217025,85701.42949459379,OpenAccess
4,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,114328.5111180871,568264.5057255393,11757.576103611927,85939.55575876472,OpenAccess
4,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,114588.25495815983,571784.9994703633,11755.904058091954,86462.88766747185,OpenAccess
4,0.4,2,10,10,0.5,18277.21283467606,10,124705.47200454782,657319.1313920069,12963.919739613877,99102.48137797977,OpenAccess
4,0.4,5,10,10,0.5,18277.21283467606,10,124780.12675529638,658284.0616116513,12944.7226934718,99041.55223072492,OpenAccess
4,0.4,10,10,10,0.5,18277.21283467606,10,124996.11276001584,661216.489880746,12949.788402745213,99492.21194840156,OpenAccess
4,0.5,2,10,10,0.5,18277.21283467606,10,135084.33561159746,750143.7929649472,14039.16142995753,111504.79197414692,OpenAccess
4,0.5,5,10,10,0.5,18277.21283467606,10,135163.775418042,751144.371284704,14000.950830342419,111241.79026395713,OpenAccess
4,0.5,10,10,10,0.5,18277.21283467606,10,135399.59145662677,754234.9779655903,13941.242807687677,111024.54020818832,OpenAccess
4,0.6,2,10,10,0.5,18277.21283467606,10,145446.40474223436,845680.5404747739,14916.440663757547,122308.61020142339,OpenAccess
4,0.6,5,10,10,0.5,18277.21283467606,10,145536.05412385726,846797.2521277085,14857.33217400278,121829.28082940768,OpenAccess
4,0.6,10,10,10,0.5,18277.21283467606,10,145859.11718216364,850854.9122651438,14681.416473305733,120524.29381139885,OpenAccess
5,0.1,2,10,10,0.5,18277.21283467606,10,80672.23788876347,335711.5152599041,7701.73946632072,47092.44472761546,OpenAccess
5,0.1,5,10,10,0.5,18277.21283467606,10,80925.22320491108,337475.98584657785,7716.0880076700205,47361.618925420225,OpenAccess
5,0.1,10,10,10,0.5,18277.21283467606,10,81477.12791942491,341560.1970487478,7762.753214886468,48073.961190685484,OpenAccess
5,0.2,2,10,10,0.5,18277.21283467606,10,89383.06681406104,389703.4257449796,8514.13229860104,54933.169061476074,OpenAccess
5,0.2,5,10,10,0.5,18277.21283467606,10,89482.21020656492,390444.37821504986,8500.33285935365,54972.55691099163,OpenAccess
5,0.2,10,10,10,0.5,18277.21283467606,10,90495.59928930741,398192.91579664545,8568.650629378799,55938.71962421885,OpenAccess
5,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,97946.81308942579,447617.91900063265,9291.204043216583,62891.488314843315,OpenAccess
5,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,98137.22591391168,449129.74952985026,9296.571549418451,63068.984139770066,OpenAccess
5,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,98853.6025999612,454818.3949300944,9287.461043194973,63396.96036167979,OpenAccess
5,0.4,2,10,10,0.5,18277.21283467606,10,106673.44576032588,511206.7074484015,10049.008242705873,71011.97837301737,OpenAccess
5,0.4,5,10,10,0.5,18277.21283467606,10,106894.16306144663,513071.8603231932,10056.314612256787,71172.40392886917,OpenAccess
5,0.4,10,10,10,0.5,18277.21283467606,10,107507.69816958127,518219.8061922238,10046.889981089922,71452.52302881412,OpenAccess
5,0.5,2,10,10,0.5,18277.21283467606,10,115770.94159437837,581752.8423986384,10790.676055942113,79256.804235969,OpenAccess
5,0.5,5,10,10,0.5,18277.21283467606,10,116019.76803010402,583962.1365019084,10797.216244889607,79395.29852317373,OpenAccess
5,0.5,10,10,10,0.5,18277.21283467606,10,116734.08550651524,590260.052181408,10815.498586893378,79853.64725133023,OpenAccess
5,0.6,2,10,10,0.5,18277.21283467606,10,125429.76205563471,660615.8394266219,11516.8236503873,87587.912858007,OpenAccess
5,0.6,5,10,10,0.5,18277.21283467606,10,125722.9769193365,663328.5748402844,11523.058564577257,87714.84050274674,OpenAccess
5,0.6,10,10,10,0.5,18277.21283467606,10,126751.63247719093,672703.3558276941,11558.173775344312,88301.08835301838,OpenAccess
6,0.1,2,10,10,0.5,18277.21283467606,10,72735.78807745421,304865.8970413365,6774.15505352343,41825.49750467488,OpenAccess
6,0.1,5,10,10,0.5,18277.21283467606,10,73037.03786083784,306711.0985323697,6796.341669093835,42025.04752913954,OpenAccess
6,0.1,10,10,10,0.5,18277.21283467606,10,73697.78826629302,310879.52003487165,6854.278486962829,42555.55287469906,OpenAccess
6,0.2,2,10,10,0.5,18277.21283467606,10,80374.44038444835,345450.0227150315,7515.369508906893,47488.482866256025,OpenAccess
6,0.2,5,10,10,0.5,18277.21283467606,10,80560.89708646038,346691.9237289733,7524.957844564035,47580.820783604315,OpenAccess
6,0.2,10,10,10,0.5,18277.21283467606,10,81673.42994140083,354148.5008789854,7598.661000881397,48360.09598150665,OpenAccess
6,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,88169.82712332124,390731.3015202788,8259.694897612917,53601.21629292734,OpenAccess
6,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,88403.1913346465,392336.1202032639,8278.216115715157,53786.40603458974,OpenAccess
6,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,89314.76253217623,398895.0875715941,8316.514537709043,54268.363301446516,OpenAccess
6,0.4,2,10,10,0.5,18277.21283467606,10,96383.40266850495,442528.47823014867,9028.598622579095,60340.172891238784,OpenAccess
6,0.4,5,10,10,0.5,18277.21283467606,10,96622.5333538092,444316.4978655599,9042.432115535734,60516.542651425654,OpenAccess
6,0.4,10,10,10,0.5,18277.21283467606,10,97410.44071899781,450224.7765925786,9087.225446902945,61034.568087273794,OpenAccess
6,0.5,2,10,10,0.5,18277.21283467606,10,105164.43814574352,502163.45538415835,9823.53875883087,67740.17948880357,OpenAccess
6,0.5,5,10,10,0.5,18277.21283467606,10,105417.87495167111,504211.24796882475,9831.786880352041,67895.64065824183,OpenAccess
6,0.5,10,10,10,0.5,18277.21283467606,10,106214.65666586564,510541.77015662927,9881.305035458754,68514.93203636377,OpenAccess
6,0.6,2,10,10,0.5,18277.21283467606,10,114636.11339364672,570954.5406081161,10635.438966085594,75761.88773125137,OpenAccess
6,0.6,5,10,10,0.5,18277.21283467606,10,114920.07349572197,573424.3963605409,10637.193506794078,75890.38146255461,OpenAccess
6,0.6,10,10,10,0.5,18277.21283467606,10,115938.19819039258,582114.065669112,10675.41145126891,76557.23820865774,OpenAccess
7,0.1,2,10,10,0.5,18277.21283467606,10,67199.43198131173,282136.3068453701,6101.356720395701,38033.68865720931,OpenAccess
7,0.1,5,10,10,0.5,18277.21283467606,10,67497.07312195758,283845.21717114025,6124.348967965806,38224.53647941992,OpenAccess
7,0.1,10,10,10,0.5,18277.21283467606,10,68153.65031431541,287647.5259067573,6182.670531927744,38711.432288198936,OpenAccess
7,0.2,2,10,10,0.5,18277.21283467606,10,73878.05505140832,316004.4790781865,6757.598244140015,42659.7369412165,OpenAccess
7,0.2,5,10,10,0.5,18277.21283467606,10,74077.88472468591,317277.11428282905,6769.060927795636,42772.98432357605,OpenAccess
7,0.2,10,10,10,0.5,18277.21283467606,10,75191.30526791983,324039.1309454422,6850.207447887636,43496.94814309943,OpenAccess
7,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,80875.72773244421,354052.94741578307,7427.303134135548,47703.331792969955,OpenAccess
7,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,81093.47552108378,355420.27767109463,7443.260573721812,47853.07916305985,OpenAccess
7,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,82063.555510526945,361811.1328515702,7498.948629715524,48421.264962315385,OpenAccess
7,0.4,2,10,10,0.5,18277.21283467606,10,88406.94239806478,397932.26398381137,8127.51970014369,53330.288668078436,OpenAccess
7,0.4,5,10,10,0.5,18277.21283467606,10,88633.48387449842,399436.60499307606,8142.149709401245,53483.11160362079,OpenAccess
7,0.4,10,10,10,0.5,18277.21283467606,10,89424.5376185365,404867.6180431108,8186.171753938221,53967.25832709543,OpenAccess
7,0.5,2,10,10,0.5,18277.21283467606,10,96596.4282248569,448988.76084849646,8861.153297268334,59609.03131913263,OpenAccess
7,0.5,5,10,10,0.5,18277.21283467606,10,96844.38797319419,450753.6285346208,8873.41360748441,59760.66000634285,OpenAccess
7,0.5,10,10,10,0.5,18277.21283467606,10,97613.6394341406,456264.3093662671,8917.263826470062,60272.09906542516,OpenAccess
7,0.6,2,10,10,0.5,18277.21283467606,10,105560.08727136672,508699.7861546613,9624.898429115334,66565.95821137926,OpenAccess
7,0.6,5,10,10,0.5,18277.21283467606,10,105850.76488541755,510924.3476315497,9634.648530183287,66719.9337713911,OpenAccess
7,0.6,10,10,10,0.5,18277.21283467606,10,106866.66237124227,518669.83083910483,9683.334973439494,67359.27496229272,OpenAccess
8,0.1,2,10,10,0.5,18277.21283467606,10,63177.69945818248,263851.2844851265,5622.695920336265,35020.99353906513,OpenAccess
8,0.1,5,10,10,0.5,18277.21283467606,10,63462.203416047574,265393.7052864519,5644.659377231355,35192.26552021417,OpenAccess
8,0.1,10,10,10,0.5,18277.21283467606,10,64086.83446021864,268774.4106161135,5698.269118630323,35606.378789869144,OpenAccess
8,0.2,2,10,10,0.5,18277.21283467606,10,69117.65628194115,293815.5863183115,6200.152868119341,39060.847122881045,OpenAccess
8,0.2,5,10,10,0.5,18277.21283467606,10,69322.41470072235,295027.57992437825,6212.3995624167455,39172.27717899529,OpenAccess
8,0.2,10,10,10,0.5,18277.21283467606,10,70391.09713896755,301090.2140394301,6293.6776725806585,39829.034920090984,OpenAccess
8,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,75466.8876037777,327505.4761189333,6805.159530455425,43486.77887528432,OpenAccess
8,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,75674.89944229773,328724.9918726048,6820.087929237213,43613.28818408906,OpenAccess
8,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,76642.1511547012,334621.64478302735,6880.5467019603475,44164.56102277392,OpenAccess
8,0.4,2,10,10,0.5,18277.21283467606,10,82422.67438405726,366442.4011989255,7453.381621358687,48458.65818130568,OpenAccess
8,0.4,5,10,10,0.5,18277.21283467606,10,82638.16766104354,367763.01714151155,7467.8574764672385,48589.14292344125,OpenAccess
8,0.4,10,10,10,0.5,18277.21283467606,10,83432.51473342387,372812.81805176387,7514.128623180573,49035.14663852228,OpenAccess
8,0.5,2,10,10,0.5,18277.21283467606,10,90108.64599715726,411969.7682943815,8149.504361551546,54072.282159355746,OpenAccess
8,0.5,5,10,10,0.5,18277.21283467606,10,90348.46282733176,413536.3243355839,8162.759300906239,54206.78821751985,OpenAccess
8,0.5,10,10,10,0.5,18277.21283467606,10,91111.9036445215,418575.814042374,8208.930432206565,54663.534519261375,OpenAccess
8,0.6,2,10,10,0.5,18277.21283467606,10,98645.38415905662,465629.69459588913,8893.690421447482,60403.01242940047,OpenAccess
8,0.6,5,10,10,0.5,18277.21283467606,10,98931.06399617995,467631.814618177,8905.595967814634,60546.74162183407,OpenAccess
8,0.6,10,10,10,0.5,18277.21283467606,10,99939.53983583713,474695.9217387119,8961.136052393396,61145.37480086236,OpenAccess
9,0.1,2,10,10,0.5,18277.21283467606,10,60104.46800715688,249383.91198335207,5271.753377649913,32668.814751764978,OpenAccess
9,0.1,5,10,10,0.5,18277.21283467606,10,60375.114772877416,250800.56832266407,5293.331274082251,32828.721847101144,OpenAccess
9,0.1,10,10,10,0.5,18277.21283467606,10,60964.33107865246,253875.94335601173,5344.753564984087,33206.89060466809,OpenAccess
9,0.2,2,10,10,0.5,18277.21283467606,10,65501.69103613786,276498.5558740802,5787.816047526928,36290.42256640024,OpenAccess
9,0.2,5,10,10,0.5,18277.21283467606,10,65709.66844840058,277669.40798640286,5801.314752573997,36401.92976155747,OpenAccess
9,0.2,10,10,10,0.5,18277.21283467606,10,66722.28299322483,283192.7371965955,5880.974311265588,37011.451987989414,OpenAccess
9,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,71345.6689478296,307082.3479293122,6339.2415998544175,40285.12214937157,OpenAccess
9,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,71547.51179472583,308227.7231062698,6354.3882919952985,40405.73092741826,OpenAccess
9,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,72499.24819260773,313744.0940186736,6417.975758921066,40937.554412363366,OpenAccess
9,0.4,2,10,10,0.5,18277.21283467606,10,77821.82939147386,342507.0786009888,6941.032473479217,44802.05170837545,OpenAccess
9,0.4,5,10,10,0.5,18277.21283467606,10,78028.94408412221,343727.21734744206,6955.888553917304,44925.60698928795,OpenAccess
9,0.4,10,10,10,0.5,18277.21283467606,10,78825.28165387435,348561.257047315,7006.5844915344715,45370.686914755686,OpenAccess
9,0.5,2,10,10,0.5,18277.21283467606,10,85056.16543647657,384043.11314195785,7599.011105051075,49942.99215394718,OpenAccess
9,0.5,5,10,10,0.5,18277.21283467606,10,85289.49675011646,385496.7636885516,7613.568425948326,50074.52603926878,OpenAccess
9,0.5,10,10,10,0.5,18277.21283467606,10,86044.9206502065,390257.65344782366,7662.885397862676,50520.07983321697,OpenAccess
9,0.6,2,10,10,0.5,18277.21283467606,10,93177.07833221628,433201.2212554199,8315.547864770764,55801.52399135806,OpenAccess
9,0.6,5,10,10,0.5,18277.21283467606,10,93458.2622599084,435065.5506552432,8329.84033500286,55946.7015826745,OpenAccess
9,0.6,10,10,10,0.5,18277.21283467606,10,94451.10927087988,441660.526304926,8390.522093706883,56532.54996644825,OpenAccess
10,0.1,2,10,10,0.5,18277.21283467606,10,57673.17542851182,238093.80490457005,4999.780048414434,30843.790309664626,OpenAccess
10,0.1,5,10,10,0.5,18277.21283467606,10,57930.45686968537,239414.67612972547,5020.494926874694,30993.600504032598,OpenAccess
10,0.1,10,10,10,0.5,18277.21283467606,10,58485.333266037494,242255.6413559695,5068.902098850294,31341.147205719793,OpenAccess
10,0.2,2,10,10,0.5,18277.21283467606,10,62661.12715532353,262904.9694171187,5470.421869966317,34132.371521089124,OpenAccess
10,0.2,5,10,10,0.5,18277.21283467606,10,62870.07896570785,264047.65517416573,5484.8306789738635,34245.53868840786,OpenAccess
10,0.2,10,10,10,0.5,18277.21283467606,10,63828.96001090526,269161.0148526952,5561.365560945962,34814.97406802638,OpenAccess
10,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,68110.78924360851,291038.3453397748,5980.054032160567,37790.97646989185,OpenAccess
10,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,68307.30994915322,292133.55817162694,5995.017446590482,37907.63848522268,OpenAccess
10,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,69238.9631124324,297375.13326641335,6060.469481572169,38429.23760463983,OpenAccess
10,0.4,2,10,10,0.5,18277.21283467606,10,74196.51715560793,323733.5509725537,6543.152593195447,41956.56035930277,OpenAccess
10,0.4,5,10,10,0.5,18277.21283467606,10,74395.93616265434,324883.05163197604,6557.89261835709,42075.50636890514,OpenAccess
10,0.4,10,10,10,0.5,18277.21283467606,10,75188.69235304692,329557.10174700216,6611.148701457768,42522.19065878322,OpenAccess
10,0.5,2,10,10,0.5,18277.21283467606,10,81046.03040415452,362180.7298278569,7166.867782072731,46731.69528070686,OpenAccess
10,0.5,5,10,10,0.5,18277.21283467606,10,81272.73621824905,363554.695152594,7181.860675342694,46860.860295905295,OpenAccess
10,0.5,10,10,10,0.5,18277.21283467606,10,82017.98656436763,368117.0515442952,7232.532341323315,47299.226402967026,OpenAccess
10,0.6,2,10,10,0.5,18277.21283467606,10,88795.35668456461,407836.8038799498,7855.9470726808595,52220.00584504307,OpenAccess
10,0.6,5,10,10,0.5,18277.21283467606,10,89071.25592802175,409604.9806820167,7871.43472315452,52365.71974187161,OpenAccess
10,0.6,10,10,10,0.5,18277.21283467606,10,90044.40440917613,415849.2591397822,7934.582793984684,52940.812292255476,OpenAccess
11,0.1,2,10,10,0.5,18277.21283467606,10,55717.50043403944,229218.66106096175,4781.7563175232435,29411.133916976472,OpenAccess
11,0.1,5,10,10,0.5,18277.21283467606,10,55962.85777271374,230461.89122069182,4801.700690247747,29553.2516955558,OpenAccess
11,0.1,10,10,10,0.5,18277.21283467606,10,56487.29468515274,233113.72428497425,4847.530798325105,29878.034513658164,OpenAccess
11,0.2,2,10,10,0.5,18277.21283467606,10,60382.22733531383,252162.95278245388,5218.185249816266,32433.33395491574,OpenAccess
11,0.2,5,10,10,0.5,18277.21283467606,10,60590.56904246166,253279.5262034908,5233.03817988794,32546.89578930193,OpenAccess
11,0.2,10,10,10,0.5,18277.21283467606,10,61501.78085734938,258063.32647331528,5306.554546657556,33084.48819536841,OpenAccess
11,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,65515.108572881756,278309.97493321396,5695.300637236549,35822.17164993932,OpenAccess
11,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,65707.13455610532,279362.6999217885,5710.101655515056,35935.688441302416,OpenAccess
11,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,66616.55904033377,284374.991806564,5776.0173088045485,36447.0010560602,OpenAccess
11,0.4,2,10,10,0.5,18277.21283467606,10,71279.78609271652,308795.2965101537,6227.1243520135495,39705.25598876607,OpenAccess
11,0.4,5,10,10,0.5,18277.21283467606,10,71472.5437958419,309886.30602644716,6241.668707291138,39820.199933678756,OpenAccess
11,0.4,10,10,10,0.5,18277.21283467606,10,72258.81141740015,314416.81544511847,6296.432895324638,40265.789097161556,OpenAccess
11,0.5,2,10,10,0.5,18277.21283467606,10,77803.68592284774,344741.3972187356,6821.7920288859095,44184.86900258504,OpenAccess
11,0.5,5,10,10,0.5,18277.21283467606,10,78024.51471404124,346051.0203237212,6837.017848197019,44312.00362887358,OpenAccess
11,0.5,10,10,10,0.5,18277.21283467606,10,78759.85065201735,350449.9433029098,6888.670738258202,44745.38601302884,OpenAccess
11,0.6,2,10,10,0.5,18277.21283467606,10,85227.57144979628,387550.2884068683,7485.9196003977395,49370.61459649405,OpenAccess
11,0.6,5,10,10,0.5,18277.21283467606,10,85498.71930810518,389244.7000773705,7502.282351587444,49517.382192496916,OpenAccess
11,0.6,10,10,10,0.5,18277.21283467606,10,86452.12806598694,395204.1111143636,7566.960030089939,50083.930428644315,OpenAccess
12,0.1,2,10,10,0.5,18277.21283467606,10,54129.79154848941,222118.9394388905,4603.711707984323,28260.622144621662,OpenAccess
12,0.1,5,10,10,0.5,18277.21283467606,10,54364.41023607772,223295.05882044876,4622.83714596871,28395.454320654728,OpenAccess
12,0.1,10,10,10,0.5,18277.21283467606,10,54861.79429848841,225783.52322709712,4666.238624059458,28699.74384062339,OpenAccess
12,0.2,2,10,10,0.5,18277.21283467606,10,58530.39511712601,243564.58571705548,5013.254523108096,31072.2648604435,OpenAccess
12,0.2,5,10,10,0.5,18277.21283467606,10,58737.18534843138,244654.53119494615,5028.3569509092495,31185.413756112055,OpenAccess
12,0.2,10,10,10,0.5,18277.21283467606,10,59605.93538177301,249157.23307183178,5098.875904318107,31694.38451013051,OpenAccess
12,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,63401.53086356644,268097.56022469595,5464.404841764044,34244.51608493941,OpenAccess
12,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,63589.368290183,269111.04796184937,5479.013285725432,34354.75248413968,OpenAccess
12,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,64476.18144275158,273916.9652195872,5544.6723376686805,34854.06650240611,OpenAccess
12,0.4,2,10,10,0.5,18277.21283467606,10,68896.84469084565,296769.43839373015,5970.642767189473,37897.45577725792,OpenAccess
12,0.4,5,10,10,0.5,18277.21283467606,10,69083.5914861081,297808.5168290578,5984.946676216054,38008.36745818462,OpenAccess
12,0.4,10,10,10,0.5,18277.21283467606,10,69861.23699520508,302201.51100081025,6040.596060542232,38450.16161080673,OpenAccess
12,0.5,2,10,10,0.5,18277.21283467606,10,75142.22516315753,330646.9088510853,6540.752283592714,42132.94286304441,OpenAccess
12,0.5,5,10,10,0.5,18277.21283467606,10,75357.5157153937,331899.10367145273,6556.052022947585,42257.503699748915,OpenAccess
12,0.5,10,10,10,0.5,18277.21283467606,10,76082.50834899582,336149.2308312462,6608.23946124591,42684.619176109205,OpenAccess
12,0.6,2,10,10,0.5,18277.21283467606,10,82280.86034956858,371081.7923326799,7182.742224505314,47064.62174073992,OpenAccess
12,0.6,5,10,10,0.5,18277.21283467606,10,82547.32736127479,372711.53063378856,7199.667195479076,47211.30992144093,OpenAccess
12,0.6,10,10,10,0.5,18277.21283467606,10,83480.93135772142,378420.4078328411,7265.1022396527105,47767.89983163743,OpenAccess
13,0.1,2,10,10,0.5,18277.21283467606,10,52831.10813247205,216352.1189893285,4456.88279980834,27319.338846034792,OpenAccess
13,0.1,5,10,10,0.5,18277.21283467606,10,53056.069927376375,217469.62310853458,4475.291141668414,27447.876452624154,OpenAccess
13,0.1,10,10,10,0.5,18277.21283467606,10,53529.368994261924,219816.4347065438,4516.587508757349,27734.784355485677,OpenAccess
13,0.2,2,10,10,0.5,18277.21283467606,10,57012.20324528372,236587.83425496068,4844.505783426158,29963.119877259087,OpenAccess
13,0.2,5,10,10,0.5,18277.21283467606,10,57216.7956509647,237651.32782782876,4859.698758490444,30075.095763057518,OpenAccess
13,0.2,10,10,10,0.5,18277.21283467606,10,58047.53502637813,241910.46962866106,4927.467481235668,30558.710485735915,OpenAccess
13,0.30000000000000004,2,10,10,0.5,18277.21283467606,10,61663.28703695082,259801.87003213228,5274.304735518952,32960.37239840682,OpenAccess
13,0.30000000000000004,5,10,10,0.5,18277.21283467606,10,61847.12971683018,260780.0626713515,5288.721206959534,33067.51665292255,OpenAccess
13,0.30000000000000004,10,10,10,0.5,18277.21283467606,10,62711.54343204974,265398.28621796874,5353.747323684419,33553.932002071146,OpenAccess
13,0.4,2,10,10,0.5,18277.21283467606,10,66929.13630419446,286974.7627853433,5759.210358616039,36424.693792555605,OpenAccess
13,0.4,5,10,10,0.5,18277.21283467606,10,67110.34881963914,287968.0277760029,5773.260613206393,36531.77644843819,OpenAccess
13,0.4,10,10,10,0.5,18277.21283467606,10,67877.86713298547,292231.74153494724,5829.335997012867,36967.93029933587,OpenAccess
